일시,기온,강수량(mm),습도,적설(cm),전운량(10분위),일조(hr),일사량,태양광 설비용량(MW),태양광 발전량(MWh),연도
2023-01-01 00:00:00,5.5,0.0,64.0,0.0,4,0.0,0.0,371.961,0.0,2023
2023-01-01 01:00:00,5.4,0.0,65.0,0.0,3,0.0,0.0,371.961,0.16,2023
2023-01-01 02:00:00,5.3,0.0,64.0,0.0,5,0.0,0.0,371.961,0.14,2023
2023-01-01 03:00:00,5.4,0.0,65.0,0.0,4,0.0,0.0,371.961,0.14,2023
2023-01-01 04:00:00,5.9,0.0,65.0,0.0,4,0.0,0.0,371.961,0.06,2023
2023-01-01 05:00:00,6.2,0.0,65.0,0.0,5,0.0,0.0,371.961,0.0,2023
2023-01-01 06:00:00,7.4,0.0,62.0,0.0,7,0.0,0.0,371.961,0.17,2023
2023-01-01 07:00:00,8.0,0.0,63.0,0.0,6,0.0,0.0,371.961,0.64,2023
2023-01-01 08:00:00,8.5,0.0,59.0,0.0,6,0.0,0.0,371.961,24.7,2023
2023-01-01 09:00:00,9.0,0.0,64.0,0.0,9,0.0,0.04,371.961,58.61,2023
2023-01-01 10:00:00,9.8,0.0,57.0,0.0,9,0.0,0.23,371.961,101.97,2023
2023-01-01 11:00:00,9.9,0.0,66.0,0.0,9,0.1,0.46,371.961,87.86,2023
2023-01-01 12:00:00,10.4,0.0,63.0,0.0,9,0.2,0.75,371.961,130.66,2023
2023-01-01 13:00:00,10.6,0.0,59.0,0.0,9,0.3,1.01,371.961,153.3,2023
2023-01-01 14:00:00,10.7,0.0,57.0,0.0,7,0.4,0.98,371.961,119.2,2023
2023-01-01 15:00:00,10.2,0.0,53.0,0.0,7,0.4,0.85,371.961,79.6,2023
2023-01-01 16:00:00,9.7,0.0,54.0,0.0,5,0.3,0.55,371.961,26.88,2023
2023-01-01 17:00:00,8.9,0.0,59.0,0.0,6,0.0,0.14,371.961,6.37,2023
2023-01-01 18:00:00,8.5,0.0,59.0,0.0,7,0.0,0.01,371.961,4.8,2023
