unique_id,ds,cutoff,LSTM,GRU,NHITS,y,Ensemble_Mean,Ensemble_Weighted
jeju_solar,2023-01-06 00:00:00,2023-01-05 23:00:00,10.243263,8.082939,-1.054409,0.0,5.7572646,6.2058644
jeju_solar,2023-01-06 01:00:00,2023-01-05 23:00:00,1.9869022,-1.1351738,-1.7527866,0.19,-0.30035272,-0.07162726
jeju_solar,2023-01-06 02:00:00,2023-01-05 23:00:00,-0.58571243,-1.0652885,-2.6289883,0.18,-1.426663,-1.3425682
jeju_solar,2023-01-06 03:00:00,2023-01-05 23:00:00,-0.43376923,-0.21446037,-2.6361675,0.31,-1.094799,-1.0286961
jeju_solar,2023-01-06 04:00:00,2023-01-05 23:00:00,0.39645386,0.44994164,-0.6470909,0.07,0.06643486,0.099436745
jeju_solar,2023-01-06 05:00:00,2023-01-05 23:00:00,1.0140934,0.60243416,2.4712124,0.04,1.36258,1.3277314
jeju_solar,2023-01-06 06:00:00,2023-01-05 23:00:00,1.355442,0.6788845,-0.65408134,0.13,0.46008173,0.5496178
jeju_solar,2023-01-06 07:00:00,2023-01-05 23:00:00,1.7545776,1.1879635,-2.2576847,0.22,0.22828548,0.3809147
jeju_solar,2023-01-06 08:00:00,2023-01-05 23:00:00,9.132244,10.603424,13.037685,5.23,10.924451,10.745231
jeju_solar,2023-01-06 09:00:00,2023-01-05 23:00:00,55.633785,45.966545,56.44922,24.84,52.68318,52.97825
jeju_solar,2023-01-06 10:00:00,2023-01-05 23:00:00,107.56382,81.288666,98.24358,75.89,95.69869,96.8852
jeju_solar,2023-01-06 11:00:00,2023-01-05 23:00:00,134.96863,104.75203,126.17155,54.62,121.96407,123.26453
jeju_solar,2023-01-06 12:00:00,2023-01-05 23:00:00,133.48029,119.48433,143.49646,46.71,132.15369,132.28635
jeju_solar,2023-01-06 13:00:00,2023-01-05 23:00:00,119.29344,121.760704,141.94972,62.13,127.667946,126.830505
jeju_solar,2023-01-06 14:00:00,2023-01-05 23:00:00,100.87313,103.601555,127.91258,46.69,110.79575,109.8035
jeju_solar,2023-01-06 15:00:00,2023-01-05 23:00:00,72.68804,67.4601,96.394745,62.7,78.847626,78.231674
jeju_solar,2023-01-06 16:00:00,2023-01-05 23:00:00,25.721565,22.924341,47.855354,23.25,32.167088,31.522537
jeju_solar,2023-01-06 17:00:00,2023-01-05 23:00:00,5.055912,4.670866,14.788785,4.25,8.171855,7.86026
jeju_solar,2023-01-06 18:00:00,2023-01-05 23:00:00,4.2216988,4.0679474,2.4622402,1.34,3.5839622,3.6477358
jeju_solar,2023-01-06 19:00:00,2023-01-05 23:00:00,4.328911,4.3136806,1.0463734,2.79,3.229655,3.3395805
jeju_solar,2023-01-06 20:00:00,2023-01-05 23:00:00,2.9448166,3.6290455,1.6895332,1.36,2.754465,2.7735002
jeju_solar,2023-01-06 21:00:00,2023-01-05 23:00:00,1.3498535,2.0651112,0.3775444,0.07,1.2641697,1.2727382
jeju_solar,2023-01-06 22:00:00,2023-01-05 23:00:00,0.1215229,0.6622257,0.1725769,0.0,0.31877518,0.29904997
jeju_solar,2023-01-06 23:00:00,2023-01-05 23:00:00,-0.17592049,0.28485107,1.1104546,0.0,0.40646172,0.3482235
jeju_solar,2023-01-07 00:00:00,2023-01-05 23:00:00,0.11495018,0.35373497,0.89759254,0.0,0.4554259,0.42137834
jeju_solar,2023-01-07 01:00:00,2023-01-05 23:00:00,0.34057426,0.52017975,0.627615,0.13,0.496123,0.48056817
jeju_solar,2023-01-07 02:00:00,2023-01-05 23:00:00,0.6651058,0.44080544,-1.0314846,0.1,0.024808884,0.08883858
jeju_solar,2023-01-07 03:00:00,2023-01-05 23:00:00,1.1129818,0.28237152,-2.4856358,0.0,-0.3634275,-0.21578658
jeju_solar,2023-01-07 04:00:00,2023-01-05 23:00:00,1.0524406,0.4109192,0.13020325,0.01,0.5311877,0.583313
jeju_solar,2023-01-07 05:00:00,2023-01-05 23:00:00,0.9750061,0.3335762,0.48487854,0.0,0.5978203,0.6355389
jeju_solar,2023-01-07 06:00:00,2023-01-05 23:00:00,1.1269093,0.12880898,-4.149267,0.0,-0.96451634,-0.7553738
jeju_solar,2023-01-07 07:00:00,2023-01-05 23:00:00,1.9784107,1.642292,-3.1555805,0.55,0.15504074,0.33737773
jeju_solar,2023-01-07 08:00:00,2023-01-05 23:00:00,15.047767,13.830744,15.530001,24.94,14.802836,14.827331
jeju_solar,2023-01-07 09:00:00,2023-01-05 23:00:00,55.249012,31.099922,59.040703,85.81,48.463215,49.141792
jeju_solar,2023-01-07 10:00:00,2023-01-05 23:00:00,89.86793,58.216606,101.96351,156.44,83.34934,84.001205
jeju_solar,2023-01-07 11:00:00,2023-01-05 23:00:00,111.1113,79.53654,127.03667,210.57,105.89484,106.41648
jeju_solar,2023-01-07 12:00:00,2023-01-05 23:00:00,109.87008,92.91156,144.38226,236.25,115.721306,115.136185
jeju_solar,2023-01-07 13:00:00,2023-01-05 23:00:00,94.81937,92.97568,137.65694,230.73,108.483986,107.11753
jeju_solar,2023-01-07 14:00:00,2023-01-05 23:00:00,65.96166,77.76115,121.418526,195.96,88.38044,86.138565
jeju_solar,2023-01-07 15:00:00,2023-01-05 23:00:00,39.959217,60.351692,88.12246,134.47,62.811127,60.525932
jeju_solar,2023-01-07 16:00:00,2023-01-05 23:00:00,3.487093,16.076164,46.647194,52.98,22.07015,20.211845
jeju_solar,2023-01-07 17:00:00,2023-01-05 23:00:00,0.2381916,0.6507969,14.501665,8.88,5.130218,4.6410155
jeju_solar,2023-01-07 18:00:00,2023-01-05 23:00:00,2.5920925,2.03335,-0.3681507,5.09,1.4190973,1.5363967
jeju_solar,2023-01-07 19:00:00,2023-01-05 23:00:00,2.6429043,1.9775124,-1.3276978,7.76,1.0975729,1.2521061
jeju_solar,2023-01-07 20:00:00,2023-01-05 23:00:00,1.9655457,1.7225437,1.974865,7.31,1.8876514,1.8954408
jeju_solar,2023-01-07 21:00:00,2023-01-05 23:00:00,1.1973667,0.7441864,1.5130253,3.93,1.1515261,1.1561103
jeju_solar,2023-01-07 22:00:00,2023-01-05 23:00:00,0.6327324,-0.1621952,0.34615707,1.08,0.27223143,0.30828154
jeju_solar,2023-01-07 23:00:00,2023-01-05 23:00:00,0.679636,-0.8404045,-0.22995949,0.12,-0.13024266,-0.049254805
jeju_solar,2023-01-08 00:00:00,2023-01-05 23:00:00,1.1344013,-0.22292137,-0.9445534,0.0,-0.011024475,0.1035181
jeju_solar,2023-01-08 01:00:00,2023-01-05 23:00:00,1.6366158,0.5190048,-0.35852242,0.16,0.5990327,0.7027911
jeju_solar,2023-01-08 02:00:00,2023-01-05 23:00:00,1.6071148,0.3571396,-0.12166786,0.14,0.6141955,0.7134875
jeju_solar,2023-01-08 03:00:00,2023-01-05 23:00:00,1.3057823,-0.13501549,-0.9359741,0.14,0.07826424,0.20101607
jeju_solar,2023-01-08 04:00:00,2023-01-05 23:00:00,0.9320526,-0.30527878,0.8767853,0.06,0.5011864,0.544273
jeju_solar,2023-01-08 05:00:00,2023-01-05 23:00:00,1.4422798,-0.51008415,-0.26597595,0.0,0.22207324,0.34409386
jeju_solar,2023-01-08 06:00:00,2023-01-05 23:00:00,2.4423866,-0.37709236,-2.6336308,0.29,-0.1894455,0.07373768
jeju_solar,2023-01-08 07:00:00,2023-01-05 23:00:00,4.5693817,0.08674812,-2.8165607,0.77,0.6131897,1.0088089
jeju_solar,2023-01-08 08:00:00,2023-01-05 23:00:00,17.24102,15.357882,16.448126,30.23,16.349009,16.43821
jeju_solar,2023-01-08 09:00:00,2023-01-05 23:00:00,53.265976,68.1052,59.073143,113.14,60.148106,59.459896
jeju_solar,2023-01-08 10:00:00,2023-01-05 23:00:00,104.43529,112.859085,108.786415,182.54,108.693596,108.26777
jeju_solar,2023-01-08 11:00:00,2023-01-05 23:00:00,137.96243,141.14285,139.08847,220.89,139.39792,139.25438
jeju_solar,2023-01-08 12:00:00,2023-01-05 23:00:00,147.85544,153.44875,151.50746,232.39,150.93721,150.62904
jeju_solar,2023-01-08 13:00:00,2023-01-05 23:00:00,139.97086,145.04422,147.32256,223.12,144.11255,143.69838
jeju_solar,2023-01-08 14:00:00,2023-01-05 23:00:00,116.862564,126.5261,126.08563,190.52,123.158104,122.52855
jeju_solar,2023-01-08 15:00:00,2023-01-05 23:00:00,99.05183,107.21835,90.47167,130.79,98.91395,98.92774
jeju_solar,2023-01-08 16:00:00,2023-01-05 23:00:00,35.160805,41.29715,47.4838,51.56,41.31392,40.69861
jeju_solar,2023-01-08 17:00:00,2023-01-05 23:00:00,6.230484,9.748383,11.903872,8.99,9.294246,8.98787
jeju_solar,2023-01-08 18:00:00,2023-01-05 23:00:00,5.564348,2.5760555,-2.1057682,5.07,2.0115452,2.3668253
jeju_solar,2023-01-08 19:00:00,2023-01-05 23:00:00,5.0074654,2.307951,-2.3883686,7.48,1.6423492,1.9788611
jeju_solar,2023-01-08 20:00:00,2023-01-05 23:00:00,3.2068844,1.0152683,-0.86610985,7.02,1.118681,1.3275014
jeju_solar,2023-01-08 21:00:00,2023-01-05 23:00:00,1.5316391,0.55205345,0.02910614,3.4,0.70426625,0.7870035
jeju_solar,2023-01-08 22:00:00,2023-01-05 23:00:00,0.7555561,-0.049739838,0.2456932,0.92,0.31716982,0.36100847
jeju_solar,2023-01-08 23:00:00,2023-01-05 23:00:00,0.7109127,0.5133438,-1.2292233,0.13,-0.0016555786,0.06960124
jeju_solar,2023-01-09 00:00:00,2023-01-05 23:00:00,1.1964798,0.38482666,-1.377348,0.0,0.06798617,0.18083552
jeju_solar,2023-01-09 01:00:00,2023-01-05 23:00:00,0.64184,0.07969284,-0.5290413,0.16,0.06416384,0.12193146
jeju_solar,2023-01-09 02:00:00,2023-01-05 23:00:00,0.17669678,-0.19286346,-2.241373,0.14,-0.75251323,-0.6595923
jeju_solar,2023-01-09 03:00:00,2023-01-05 23:00:00,0.5059452,0.00037574768,-1.1374207,0.14,-0.21036656,-0.13873541
